symbol,log2FC_mut_vs_ctrl,t,p,fdr_bh
TBC1D26,1.3657926016049986,3.1549644716815326,0.007022000727706325,0.01368676135479802
LOC100288069,1.0334234676035552,3.1531947740184805,0.007046746548303797,0.013730628207597672
LOC101928755,1.3755912685009113,3.1507582104142235,0.00708095906805359,0.01378852575831274
PCDH7,0.35061098817778763,3.1491606616430596,0.0071034802664710055,0.013827987943304943
SLC7A8,0.782320433838109,3.1448885427733373,0.007164056049100224,0.01392607589839373
UPF3B,0.5126422287625528,3.1407790494500745,0.0072228100869138005,0.014029095637763497
AGAP7P,0.5225320767657454,3.1349895532914314,0.007306396314210703,0.014169000128475676
GDF10,1.7124609010448217,3.1345169383931193,0.007313261982908619,0.014177829207852573
SPAG5,0.2540917251135531,3.133679338006877,0.0073254455314604935,0.014196958933876961
FERMT1,0.9225352349651739,3.1328007050362907,0.007338247591224267,0.014217274884388354
LOC105376781,0.47020626331763077,3.1301078388658166,0.007377622346829663,0.01428453094948384
ZNF713,1.1144702152020374,3.1283552668557877,0.007403360847016188,0.014316278230980832
LOC112267958,0.9156879769331718,3.1278832032335337,0.0074103088614386565,0.014325194992311246
ZNF37A,0.4163823685528393,3.127276574252385,0.00741924696573963,0.014337952049175262
LOC441155,0.5277932094934764,3.1265310090205554,0.007430246825294767,0.014354684222835463
PTPRM,0.5499360769735949,3.1248458763975466,0.0074551684800869605,0.01439829325234186
LOC105370943,0.8633228731820568,3.1244717597708944,0.0074607125869981935,0.014404462412062653
COPG2IT1,0.5433236021717635,3.1217792817708863,0.00750073382974167,0.014468061163095167
PYY2,1.3807583334937854,3.11903391706648,0.007541760574554087,0.014538047900005206
LOC105373095,1.497314259828125,3.1167322658435053,0.007576328019326442,0.014600091404737846
CASC9,1.120001551565288,3.115075475982665,0.007601307857517076,0.01463902518585601
LOC100506730,0.4773984765539329,3.1112749811358933,0.007658918016775325,0.014740711912977312
ATP2A1,0.4510718771114028,3.1070793312279164,0.007723021316215326,0.014859422683113606
LOC107984567,1.55927969709478,3.1063611782010847,0.00773404684591522,0.014875967105572733
