rank_nsig3,rank_all,pert_iname_lower,best_score,median_score,n_sigs
6374,6852,propanoic-acid,-0.15523739,0.017740877,6
6375,6853,brd-k05225561,-0.15519805,-0.12840231,4
6376,6854,brd-k74260000,-0.15519693,-0.06266788,4
6377,6855,brd-k25701726,-0.15516688,-0.029267335,6
6378,6856,brd-k03992415,-0.15515533,0.08835111,5
6379,6857,pidotimod,-0.15514901,0.029551296,11
6380,6858,brd-k49749421,-0.15514867,0.049451433,15
6381,6859,brd-k54743934,-0.15512894,-0.08517857,6
6382,6860,brd-k06206016,-0.1551183,0.0139933005,12
6383,6861,brd-k17088043,-0.15509057,0.064434215,4
6384,6862,brd-k41958183,-0.155021,-0.028136313,3
6385,6863,brd-k13234528,-0.15501997,-0.029620519,5
6386,6864,hydrocotarnine,-0.15500773,-0.019300008,15
6387,6865,cytochalasin-b,-0.15499972,0.053572856,59
6388,6866,brd-k30644784,-0.15499967,-0.09883104,3
6389,6867,tiagabine,-0.1549902,0.02949006,11
6390,6868,brd-k63827443,-0.15497188,0.07093249,11
6391,6869,brd-k30459086,-0.15496968,0.06078056,13
6392,6870,brd-k50204028,-0.15495032,-0.02504455,21
6393,6871,brd-k20200700,-0.15494266,0.028408816,4
6394,6872,ran-29,-0.15494247,0.030291036,17
6395,6873,brd-k75639577,-0.15493974,-0.10322213,4
6396,6874,brd-k40121369,-0.15491657,0.030159429,6
6397,6878,brd-k77480336,-0.15483856,0.03780261,13
6398,6879,brd-k03652504,-0.15482527,0.038609672,19
6399,6880,brd-k55129824,-0.15482001,0.052320514,4
6400,6881,brd-k92981876,-0.1548185,0.11743144,13
6401,6882,brd-k29916225,-0.15481539,0.03104106,6
6402,6883,brd-k20401833,-0.15481311,0.08192241,13
6403,6885,arg-csc-18,-0.15475824,0.011934642,13
6404,6887,brd-k32015301,-0.1547308,0.012938226,6
6405,6889,brd-k26292987,-0.15469907,-0.10295169,3
6406,6891,nemonapride,-0.15468994,0.0027782188,31
6407,6893,brd-k47214596,-0.15468775,-0.07383241,4
6408,6894,brd-k57055053,-0.15467718,-0.06796418,4
6409,6895,brd-k64398524,-0.15463479,-1.953173e-06,5
6410,6896,brd-k82196068,-0.15462993,0.09910483,13
6411,6897,brd-k28594113,-0.15462294,-0.06584623,5
6412,6898,brd-k67766243,-0.15462156,-0.114524834,4
6413,6899,brd-k45077070,-0.15460947,0.105403766,4
6414,6900,brd-k23117210,-0.15460524,0.05465688,7
6415,6901,brd-k63532493,-0.15458612,0.021304738,4
6416,6902,brd-k94669078,-0.15455711,-0.110755764,3
6417,6903,brd-k63000292,-0.1545536,-0.047507044,14
6418,6904,brd-k13582094,-0.15455239,-0.07283378,5
6419,6905,brd-k20192397,-0.15455212,-0.058405437,6
6420,6906,brd-k95789946,-0.1544968,-0.022394136,15
6421,6907,brd-k18972207,-0.15447608,-0.011583563,12
6422,6909,brd-k79619196,-0.1544725,-0.00034987528,17
6423,6910,brd-k30837577,-0.15445744,0.015188273,14
6424,6911,brd-k72451865,-0.15445633,-0.019948384,17
6425,6912,cs-1657,-0.15444581,-0.03440874,15
6426,6913,brd-k37650321,-0.1544204,-0.0036009336,12
6427,6914,brd-k35737468,-0.15439361,-0.017157275,12
6428,6915,h-8,-0.15439135,0.03605088,19
6429,6916,brd-k93185112,-0.15438487,0.014212694,5
6430,6917,brd-k59336577,-0.15436423,-0.0034128178,3
6431,6918,parbendazole,-0.15435931,0.04129343,75
6432,6919,brd-k75990826,-0.15433113,0.011450212,3
6433,6920,brd-k65037509,-0.15431026,-0.003658769,11
6434,6921,brd-k71401720,-0.15430915,0.018786486,5
6435,6922,brd-k66299073,-0.1543035,-0.006269438,4
6436,6923,brd-k53867540,-0.15430059,-0.08080337,4
6437,6924,brd-k46393778,-0.15429352,-0.04490476,6
6438,6925,brd-k58051960,-0.15427835,-0.025753895,5
6439,6926,dihydro-7-desacetyldeoxygedunin,-0.15427741,0.022075599,15
6440,6927,bg-1032,-0.15427461,0.08948642,6
6441,6928,ro-08-2750,-0.15420504,0.021671643,18
6442,6929,brd-k07530279,-0.15418461,0.032119513,26
6443,6930,brd-k25902954,-0.15418005,-0.048113495,7
6444,6931,brd-k65997856,-0.15413441,-0.020672292,14
6445,6932,brd-k14023656,-0.1541308,-0.032039404,4
6446,6933,pha-793887,-0.1541129,0.092911854,66
6447,6934,brd-k43014865,-0.1540552,-0.021887764,6
6448,6935,gr-206,-0.15405394,-0.0048839822,24
6449,6936,brd-k55809413,-0.15403809,-0.049109023,3
6450,6937,brd-k68494763,-0.15402654,-0.07003363,4
6451,6938,brd-k77287734,-0.15402459,-0.021996384,7
6452,6940,brd-k95351169,-0.15399292,-0.13299257,5
6453,6941,brd-k68915174,-0.15396298,0.01236788,3
6454,6942,brd-k14374193,-0.15395282,-0.047839183,4
6455,6943,brd-k04630954,-0.1539392,0.1274308,4
